,3P%,3P%Season Total,3PM-A,3PM-ASeason Total,AST,AST/TO,ASTSeason Total,BLK,BLKSeason Total,DBLDBL,DQ,DR,DRSeason Total,EJECT,FG%,FG%Season Total,FGM-A,FGM-ASeason Total,FLAG,FT%,FT%Season Total,FTM-A,FTM-ASeason Total,GP,GS,MIN,Name,OR,ORSeason Total,PF,PFSeason Total,PTS,PTSSeason Total,RAT,REB,REBSeason Total,SCEFF,SEASON,SEASONSeason Total,SHEFF,STL,STL/TO,STLSeason Total,TEAM,TEAMSeason Total,TECH,TO,TOSeason Total,TRIDBL
30,.375,.375,2.6-6.9,208-555,7.0,1.76,565,0.7,60,21,2,4.7,384,0,.440,.440,8.0-18.1,647-1470,2,.868,.868,8.8-10.2,715-824,81,81,36.8,James Harden,0.9,75,2.6,208,27.4,2217,45.24,5.7,459,1.508,'14-'15,'14-'15,.511,1.9,0.48,154,,,4,4.0,321,4
31,.359,.359,2.9-8.0,236-657,7.5,1.64,612,0.6,51,23,1,5.3,438,0,.439,.439,8.7-19.7,710-1617,3,.860,.860,8.8-10.2,720-837,82,82,38.1,James Harden,0.8,63,2.8,229,29.0,2376,47.21,6.1,501,1.469,'15-'16,'15-'16,.512,1.7,0.37,139,,,4,4.6,374,3
32,.347,.347,3.2-9.3,262-756,11.2,1.95,907,0.5,38,64,0,7.0,564,0,.440,.440,8.3-18.9,674-1533,2,.847,.847,9.2-10.9,746-881,81,81,36.4,James Harden,1.2,95,2.7,215,29.1,2356,53.46,8.1,659,1.537,'16-'17,'16-'17,.525,1.5,0.26,121,,,4,5.7,464,22
33,.290,.290,0.8-2.7,63-217,5.9,1.70,465,0.7,58,12,0,4.2,333,0,.417,.417,7.9-18.9,622-1492,0,.754,.754,4.4-5.8,347-460,79,79,39.5,LeBron James,1.3,99,1.9,149,20.9,1654,34.32,5.5,432,1.109,'03-'04,'03-'04,.438,1.6,0.48,130,,,2,3.5,273,0
34,.351,.351,1.4-3.9,108-308,7.2,2.20,577,0.7,52,25,1,6.0,477,0,.472,.472,9.9-21.1,795-1684,0,.750,.750,6.0-8.0,477-636,80,80,42.4,LeBron James,1.4,111,1.8,146,27.2,2175,47.09,7.4,588,1.292,'04-'05,'04-'05,.504,2.2,0.68,177,,,4,3.3,262,4
35,.335,.335,1.6-4.8,127-379,6.6,2.00,521,0.8,66,21,0,6.1,481,0,.480,.480,11.1-23.1,875-1823,0,.738,.738,7.6-10.3,601-814,79,79,42.5,LeBron James,1.0,75,2.3,181,31.4,2478,50.09,7.0,556,1.359,'05-'06,'05-'06,.515,1.6,0.47,123,,,0,3.3,260,5
36,.319,.319,1.3-4.0,99-310,6.0,1.88,470,0.7,55,16,1,5.7,443,0,.476,.476,9.9-20.8,772-1621,2,.698,.698,6.3-9.0,489-701,78,78,40.9,LeBron James,1.1,83,2.2,171,27.3,2132,44.08,6.7,526,1.315,'06-'07,'06-'07,.507,1.6,0.50,125,,,2,3.2,250,1
37,.315,.315,1.5-4.8,113-359,7.2,2.11,539,1.1,81,31,1,6.1,459,0,.484,.484,10.6-21.9,794-1642,0,.712,.712,7.3-10.3,549-771,75,74,40.4,LeBron James,1.8,133,2.2,165,30.0,2250,50.68,7.9,592,1.370,'07-'08,'07-'08,.518,1.8,0.54,138,,,2,3.4,255,7
38,.344,.344,1.6-4.7,132-384,7.2,2.44,587,1.1,93,29,0,6.3,507,0,.489,.489,9.7-19.9,789-1613,0,.780,.780,7.3-9.4,594-762,81,81,37.7,LeBron James,1.3,106,1.7,139,28.4,2304,49.97,7.6,613,1.428,'08-'09,'08-'09,.530,1.7,0.57,137,,,10,3.0,241,7
39,.333,.333,1.7-5.1,129-387,8.6,2.49,651,1.0,77,31,0,6.4,483,0,.503,.503,10.1-20.1,768-1528,0,.767,.767,7.8-10.2,593-773,76,76,39.0,LeBron James,0.9,71,1.6,119,29.7,2258,52.66,7.3,554,1.478,'09-'10,'09-'10,.545,1.6,0.48,125,,,4,3.4,261,4
40,.330,.330,1.2-3.5,92-279,7.0,1.95,554,0.6,50,31,0,6.5,510,0,.510,.510,9.6-18.8,758-1485,0,.759,.759,6.4-8.4,503-663,79,79,38.8,LeBron James,1.0,80,2.1,163,26.7,2111,46.73,7.5,590,1.422,'10-'11,'10-'11,.541,1.6,0.44,124,,,7,3.6,284,4
